year,month,revenue,orders,AOV
2016,9,267.36,3,89.12
2016,10,49507.66,308,160.73915584415585
2016,12,10.9,1,10.9
2017,1,120312.87,789,152.4877946768061
2017,2,247303.02,1733,142.70226197345642
2017,3,374344.3,2641,141.74339265429762
2017,4,359927.23,2391,150.53418235048096
2017,5,506071.14,3660,138.27080327868853
2017,6,433038.6,3217,134.6094497979484
2017,7,498031.48,3969,125.48034265558074
2017,8,573971.68,4293,133.69943629163757
2017,9,624401.6900000001,4243,147.1604265849635
2017,10,664219.43,4568,145.40705560420315
2017,11,1010271.37,7451,135.58869547711717
2017,12,743914.17,5624,132.27492354196303
2018,1,950030.36,7220,131.58315235457064
2018,2,844178.71,6694,126.10975649835673
2018,3,983213.4400000001,7188,136.78539788536452
2018,4,996647.75,6934,143.73345111047016
2018,5,996517.68,6853,145.41334889829272
2018,6,865124.31,6160,140.44225811688312
2018,7,895507.22,6273,142.75581380519688
2018,8,854686.33,6452,132.46843304401736
2018,9,145.0,1,145.0
